,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
110,110,15-02-2020 17:58:48,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2895,190361,73920,6596,3000.0,,,,,,,True,,SUBOXIN - HQ - 100 G.
111,111,15-02-2020 17:58:48,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2413,158634,61600,5497,2500.0,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
112,112,15-02-2020 17:58:48,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0097,6345,2464,220,100.0,,,,,,,True,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
113,113,15-02-2020 17:58:48,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0043,3173,1232,110,50.0,,,,,,,True,,kur'er v Batumi
114,114,15-02-2020 17:58:48,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0043,3173,1232,110,50.0,,,,,,,True,,Vakansija Kur'era v Batumi
115,115,15-02-2020 17:58:48,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0068,5000,2301,173,,,,,,,,True,,Vakansija Kur'era v Batumi
116,116,15-02-2020 17:58:48,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0217,15863,6160,550,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
117,117,15-02-2020 17:58:48,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4462,951804,369600,32979,15000.0,,,,,,,True,,Vakansija optovogo kur'era na mef
118,118,15-02-2020 17:58:48,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0478,31727,12320,1099,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
119,119,15-02-2020 18:00:27,Kutaisi,d4df7908c3,"Шишки/weeds Afghan Kush, - 0,5г - Удобные клады в подъездах",,3,нет,Кутаиси,0.5 гр,0.0021,1396,542,48,22.0,,,,,,,,True,"Shishki/weeds Afghan Kush, - 0,5g - Udobnye klady v pod'ezdah"
120,120,15-02-2020 18:00:27,Kutaisi,d4df7908c3,"Шишки/weed Afghan Kush, 1г - Удобные клады в подъездах",,3,нет,Кутаиси,1 гр,0.0039,2538,986,88,40.0,,,,,,,,True,"Shishki/weed Afghan Kush, 1g - Udobnye klady v pod'ezdah"
121,121,15-02-2020 18:00:27,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0077,5076,1971,176,80.0,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
122,122,15-02-2020 18:00:27,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0107,7043,2735,244,111.0,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
123,123,15-02-2020 18:00:27,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0096,6345,2464,220,100.0,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
