,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,€,Varketili,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
105,105,10-02-2020 21:18:22,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0045,3189,1235,109,50.0,,,,,,,,,True,,Vakansija Kur'era v Batumi
106,106,10-02-2020 21:18:22,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.006999999999999999,5000,2301,171,,,,,,,,,,True,,Vakansija Kur'era v Batumi
107,107,10-02-2020 21:18:22,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0224,15943,6175,544,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
108,108,10-02-2020 21:18:22,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4949,956562,370500,32643,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
109,109,10-02-2020 21:18:22,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0494,31885,12350,1088,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
110,110,10-02-2020 21:20:00,Kutaisi,d4df7908c3,"Шишки/weeds Afghan Kush, - 0,5г - Удобные клады в подъездах",,6,нет,Кутаиси,0.5 гр,0.002,1275,494,44,20.0,,,,,,,,,,True,"Shishki/weeds Afghan Kush, - 0,5g - Udobnye klady v pod'ezdah"
111,111,10-02-2020 21:20:00,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0074,4719,1828,161,74.0,,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
112,112,10-02-2020 21:20:00,Kutaisi,d4df7908c3,"Шишки/weed Afghan Kush, 1г - Удобные клады в подъездах",,4,2,Кутаиси,1 гр,0.0037,2360,914,81,37.0,,,,,,,,,,True,"Shishki/weed Afghan Kush, 1g - Udobnye klady v pod'ezdah"
113,113,10-02-2020 21:20:00,Kutaisi,d4df7908c3,"Шишки/Weeds OG Kush, 3g",,2,3,Кутаиси,3 гр,0.0105,6696,2594,229,105.0,,,,,,,,,,True,"Shishki/Weeds OG Kush, 3g"
114,114,10-02-2020 21:20:00,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.01,6377,2470,218,100.0,,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
